Lithology Subtype,Principal,mean,rsd,median,count,count_outliers,outlier_count_ratio %,kurtosis,skew
extrusive,lava,46.27515283842795,0.3070201750135058,47.27,229,0,0.0,-0.6457485678846937,-0.17168042926159335
extrusive,pumice,44.6625,0.3187037999099028,35.150000000000006,8,0,0.0,-1.314053519249299,0.6828107433206667
extrusive,rhyodacite,39.323913043478264,0.1683596531186292,38.85,46,1,2.1739130434782608,0.6685224548253088,0.6820769236142398
extrusive,tephra,37.62324034334764,0.18774059447167524,37.7,4660,25,0.5364806866952789,0.5885211456335204,0.0600418479527784
extrusive,trachybasalt,34.886011616650535,0.32460217279692266,37.3,2066,0,0.0,-0.3173430428521762,-0.5317399302900251
extrusive,tuff,38.30711727384364,0.2446056695289259,37.5,9772,62,0.634465820712239,0.48603355590048736,0.25904334335350826
extrusive,volcanic rock,48.32488910793494,0.3289346770801994,48.48,2029,0,0.0,-0.6413965548196461,-0.006135222050822974
extrusive,volcaniclastic rock,40.673577235772356,0.34088901848606556,40.91,1353,0,0.0,-0.3286329300795958,0.138854549359945
gneiss,gneiss,40.379999999999995,0.3214462605250124,40.379999999999995,2,0,0.0,-2.0,8.317754380724991e-16
granofels,granofels,45.77278350515464,0.18275105774277667,46.71,97,0,0.0,-0.4147992546185333,-0.40610083516344136
indeterminate,felsic material,46.416666666666664,0.26540644603581515,47.150000000000006,6,0,0.0,0.03547225660565312,-0.35446007536044255
indeterminate,felsic patch,38.9807486631016,0.16249158885264858,39.150000000000006,374,7,1.8716577540106951,3.559465993475631,-0.8867655195653558
indeterminate,felsic vein,43.734848484848484,0.1320735803428326,43.0,66,1,1.5151515151515151,13.563470535770701,2.91683827445588
indeterminate,ultramafic rock,33.12568181818182,0.1930323581229121,32.894999999999996,132,2,1.5151515151515151,1.150518198243823,0.44915244732269305
intrusive,albitite,42.2,0.0,42.2,2,0,0.0,,
intrusive,andesite,30.200000000000003,0.15006979064403528,27.3,3,0,0.0,-1.4999999999999993,0.6978231250092287
intrusive,anorthosite,23.3,0.0,23.3,1,0,0.0,,
intrusive,basalt,37.82692307692308,0.22759183512461065,39.15,26,0,0.0,-0.6462452878135361,-0.5744349229136937
intrusive,chromitite,38.85294117647059,0.18485964458686388,41.4,17,0,0.0,2.373433981823452,-1.8705912651133465
intrusive,diabase,31.59246575342466,0.2167418073155317,33.25,146,2,1.36986301369863,3.9543215659082085,-1.2796130785855548
intrusive,diorite,33.82212376933896,0.3438955745463007,35.055,1422,0,0.0,-1.4615749430884168,-0.021737879559341033
intrusive,dolerite,40.34600662800331,0.13650937294553964,40.84,1207,10,0.8285004142502072,1.742678441324239,-0.6570060382236785
intrusive,dunite,34.45106870229008,0.17421145009437033,34.1,393,7,1.7811704834605597,1.4840554961017496,0.2060566690797394
intrusive,gabbro,38.484285352197055,0.18664570150145826,39.5,43399,595,1.3709993317818383,3.3047371417783653,-0.9506050557770226
intrusive,gabbronorite,41.690869438790344,0.12839217565507516,42.3,3439,29,0.8432683919744112,1.9507994782322156,-0.774734923686949
intrusive,glauconite,67.94,0.03458934353841627,67.94,2,0,0.0,-1.9999999999999998,9.033801866670493e-15
